COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,e_e000004,2,1,1,1
1,e_e000004,1,2,4,1
1,e_e000006,5,1,3,3
1,e_e000009,8,1,4,3
1,e_e000011,7,2,6,3
3,e_e000011,7,2,6,3
2,e_e000011,7,2,6,3
2,e_e000013,3,2,6,1
1,e_e000013,3,1,6,1
3,e_e000013,5,2,3,1
1,e_e000014,1,2,5,1
2,e_e000014,2,2,1,1
1,e_e000015,7,1,3,3
1,e_e000018,2,2,1,1
2,e_e000018,2,2,1,1
1,e_e000021,8,1,4,3
1,e_e000022,1,1,5,1
2,e_e000023,3,2,8,1
1,e_e000023,2,2,1,1
2,e_e000025,2,1,2,1
1,e_e000025,1,1,5,1
1,e_e000038,1,2,4,1
1,e_e000039,1,1,4,1
1,e_e000040,8,2,4,3
1,e_e000041,3,2,8,3
1,e_e000042,8,1,4,1
1,e_e000045,1,1,6,1
1,e_e000046,7,1,6,1
3,e_e000046,7,1,6,3
2,e_e000046,7,1,6,3
1,e_e000294,8,1,3,1
1,e_e000301,8,2,3,1
1,e_e000311,1,2,4,1
2,e_e000311,2,1,1,1
1,e_e000323,8,1,4,1
1,e_e000329,8,1,3,1
1,e_e000332,8,1,3,1
1,e_e000334,8,1,3,1
2,e_e000336,2,2,1,1
1,e_e000336,1,1,4,1
2,e_e000342,1,2,4,3
4,e_e000342,3,2,7,3
1,e_e000342,2,1,1,1
3,e_e000342,3,1,8,3
5,e_e000342,5,2,4,3
1,e_e000344,1,2,4,1
2,e_e000344,2,2,1,1
1,e_e000345,7,1,3,1
2,e_e000345,7,1,3,1
1,e_e000346,1,2,5,1
2,e_e000346,2,1,2,1
1,e_e000350,1,1,4,1
2,e_e000350,2,1,1,1
1,e_e000352,8,1,5,3
1,e_e000355,1,1,5,1
2,e_e000355,2,2,1,1
1,e_e000360,1,1,4,1
1,e_e000362,1,1,5,1
2,e_e000366,2,1,1,1
1,e_e000366,1,1,5,1
1,e_e000373,1,1,5,1
3,e_e000373,3,2,7,3
2,e_e000373,2,1,1,1
3,e_e000375,2,2,1,1
2,e_e000375,2,1,1,1
1,e_e000375,1,1,5,1
2,e_e000376,2,1,2,1
1,e_e000376,2,1,2,1
2,e_e000377,2,2,1,1
1,e_e000377,1,1,5,1
3,e_e000377,2,2,1,1
1,e_e000379,1,2,5,1
2,e_e000379,2,2,1,1
1,e_e000381,1,1,5,1
3,e_e000381,2,1,1,1
2,e_e000381,2,1,1,1
1,e_e000384,1,1,4,1
1,e_e000385,8,2,4,1
1,e_e000387,1,1,5,1
3,e_e000387,2,1,1,1
2,e_e000387,2,2,2,1
2,e_e000395,2,2,1,1
1,e_e000395,1,1,5,1
1,e_e000396,1,1,4,1
1,e_e000397,2,2,1,1
2,e_e000397,2,2,1,1
2,e_e000400,11,2,5,1
1,e_e000400,11,2,5,1
3,e_e000400,11,2,5,1
1,e_e000403,7,2,4,1
2,e_e000403,7,2,4,1
1,e_e000406,1,1,5,1
2,e_e000406,2,2,2,1
1,e_e000407,1,1,5,1
3,e_e000407,2,2,2,1
2,e_e000407,2,2,2,1
4,e_e000407,2,1,1,1
1,e_e000409,1,1,8,1
2,e_e000409,2,2,5,1
1,e_e000418,1,1,5,1
2,e_e000418,2,1,1,1
1,e_e000425,1,1,4,1
3,e_e000425,2,1,1,1
2,e_e000425,2,1,1,1
2,e_e000429,2,1,2,1
1,e_e000429,1,1,5,1
1,e_e000432,3,2,6,1
1,e_e000433,8,1,4,3
2,e_e000435,2,1,1,1
1,e_e000435,1,1,5,1
3,e_e000435,2,1,1,1
1,e_e000438,1,2,5,1
3,e_e000438,2,2,2,1
2,e_e000438,2,2,2,1
1,e_e000445,1,2,4,1
1,e_e000447,1,1,4,1
3,e_e000447,2,2,1,1
2,e_e000447,2,2,1,1
2,e_e000448,2,2,1,1
1,e_e000448,1,2,4,1
2,e_e000451,5,1,4,1
1,e_e000451,5,2,4,1
2,e_e000453,2,1,1,1
1,e_e000453,1,2,4,1
2,e_e000454,2,2,2,1
1,e_e000454,1,1,4,1
3,e_e000454,2,1,1,1
2,e_e000460,6,1,1,3
1,e_e000460,5,2,4,3
1,e_e000466,1,1,4,1
3,e_e000466,2,1,1,1
2,e_e000466,2,2,1,1
15,e_e000469,10,2,3,3
17,e_e000469,10,2,3,3
2,e_e000469,10,1,3,1
19,e_e000469,10,2,3,3
4,e_e000469,10,1,3,3
6,e_e000469,10,1,3,3
8,e_e000469,10,1,3,3
10,e_e000469,10,1,3,3
12,e_e000469,10,2,3,3
14,e_e000469,10,2,3,3
16,e_e000469,10,2,3,3
1,e_e000469,10,1,3,1
18,e_e000469,10,2,3,3
3,e_e000469,10,1,3,1
20,e_e000469,10,2,3,3
5,e_e000469,10,1,3,3
7,e_e000469,10,1,3,3
9,e_e000469,10,1,3,3
11,e_e000469,10,2,3,3
13,e_e000469,10,2,3,3
2,e_e000473,2,1,1,1
1,e_e000473,1,2,4,1
1,e_e000477,8,1,3,1
1,e_e000479,1,2,4,1
2,e_e000479,2,1,1,1
2,e_e000480,7,2,4,1
1,e_e000480,7,2,4,1
3,e_e000480,7,2,5,1
1,e_e000482,7,2,4,3
2,e_e000483,2,1,1,1
4,e_e000483,3,1,7,1
6,e_e000483,5,1,5,1
1,e_e000483,1,1,5,1
3,e_e000483,2,2,1,1
5,e_e000483,3,2,7,1
7,e_e000483,6,1,1,1
1,e_e000491,3,2,6,1
2,e_e000491,5,1,4,1
2,e_e000492,2,1,2,1
1,e_e000492,1,2,5,1
1,e_e000496,8,2,3,1
1,e_e000500,1,1,5,1
3,e_e000500,2,2,1,1
2,e_e000500,2,1,1,1
2,e_e000507,3,2,7,1
1,e_e000507,1,1,4,1
3,e_e000507,3,1,7,1
1,e_e000509,7,1,3,3
1,e_e000510,10,2,7,1
4,e_e000514,3,2,7,1
1,e_e000514,1,2,5,1
3,e_e000514,2,2,2,1
2,e_e000514,2,1,2,1
2,e_e000523,2,1,2,1
1,e_e000523,1,2,5,1
3,e_e000523,2,1,1,1
1,e_e000524,2,1,1,1
2,e_e000525,2,1,1,1
1,e_e000525,1,2,5,1
1,e_e000531,8,1,3,1
1,e_e000533,1,2,6,1
2,e_e000533,2,1,4,1
1,e_e000535,7,1,3,3
2,e_e000540,2,1,1,1
1,e_e000540,1,1,4,1
1,e_e000541,1,1,5,1
2,e_e000541,2,1,1,1
1,e_e000544,2,1,2,1
1,e_e000547,1,2,4,1
3,e_e000547,2,1,1,1
2,e_e000547,2,2,1,1
2,e_e000548,2,1,1,1
1,e_e000548,1,2,5,1
1,e_e000552,3,2,8,1
2,e_e000556,3,2,6,1
1,e_e000556,3,1,7,1
2,e_e000557,2,1,1,1
1,e_e000557,1,2,4,1
1,e_e000560,6,2,4,1
1,e_e000563,1,1,4,1
1,e_e000567,1,1,4,1
3,e_e000567,2,1,1,1
2,e_e000567,2,1,1,1
1,e_e000569,1,2,4,1
2,e_e000569,2,1,1,1
1,e_e000579,8,2,4,1
1,e_e000584,3,2,7,1
1,e_e000590,1,1,4,1
1,e_e000591,1,1,5,1
1,e_e000594,8,1,4,1
1,e_e000595,8,1,3,1
1,e_e000597,2,1,1,1
1,e_e000599,2,1,1,1
2,e_e000603,2,1,2,1
1,e_e000603,1,1,5,1
3,e_e000603,2,2,1,1
1,e_e000607,3,1,7,1
3,e_e000607,5,1,4,1
2,e_e000607,3,2,6,1
1,e_e000609,1,1,5,1
2,e_e000609,2,1,1,1
1,e_e000612,2,2,2,1
1,e_e000615,7,1,4,1
1,e_e000618,8,1,5,3
1,e_e000620,3,1,7,1
2,e_e000620,3,2,7,1
1,e_e000622,8,1,4,1
5,e_e000623,7,2,1,3
2,e_e000623,2,1,1,1
4,e_e000623,7,2,4,3
1,e_e000623,1,1,4,1
3,e_e000623,7,1,4,3
2,e_e000625,3,2,7,1
1,e_e000625,3,1,7,1
2,e_e000628,7,1,4,1
1,e_e000628,7,1,4,1
1,e_e000637,7,2,3,3
1,e_e000640,10,2,8,1
2,e_e000640,10,2,8,1
1,e_e000641,1,1,5,1
3,e_e000641,2,1,1,1
2,e_e000641,2,1,1,1
2,e_e000644,2,1,2,1
1,e_e000644,1,2,5,1
3,e_e000644,2,2,1,1
1,e_e000645,8,1,4,1
1,e_e000647,8,1,4,1
2,e_e000648,2,2,2,1
1,e_e000648,1,1,5,1
3,e_e000648,2,2,2,1
1,e_e000651,1,1,6,1
3,e_e000651,2,1,3,1
2,e_e000651,2,1,3,1
1,e_e000664,1,2,4,1
2,e_e000664,2,1,1,1
1,e_e000666,8,2,3,3
2,e_e000669,2,2,1,1
1,e_e000669,1,2,4,1
3,e_e000669,2,2,1,1
1,e_e000672,1,2,7,1
3,e_e000672,10,1,7,3
5,e_e000672,10,1,7,3
7,e_e000672,10,1,7,3
9,e_e000672,10,2,7,3
2,e_e000672,10,1,7,3
4,e_e000672,10,1,7,3
6,e_e000672,10,1,7,3
8,e_e000672,10,2,7,3
1,e_e000680,1,2,4,1
2,e_e000680,2,1,1,1
1,e_e000682,5,2,3,1
1,e_e000686,8,2,3,1
1,e_e000689,8,2,3,1
1,e_e000691,1,1,4,1
1,e_e000693,1,1,5,1
2,e_e000693,2,2,2,1
1,e_e000695,8,1,4,1
2,e_e000696,2,1,1,1
1,e_e000696,1,1,5,1
3,e_e000696,2,2,1,1
1,e_e000699,7,2,3,3
3,e_e000706,7,2,3,1
5,e_e000706,7,2,3,1
2,e_e000706,7,2,3,1
4,e_e000706,7,2,3,1
1,e_e000706,7,2,3,1
2,e_e000707,2,2,1,1
1,e_e000707,1,1,5,1
3,e_e000707,2,2,1,1
1,e_e000709,1,2,5,1
2,e_e000709,2,1,2,1
1,e_e000710,1,1,4,1
1,e_e000715,7,1,3,1
3,e_e000717,6,2,8,1
2,e_e000717,6,1,8,1
1,e_e000717,3,2,7,1
2,e_e000733,2,2,1,1
1,e_e000733,1,1,5,1
3,e_e000733,2,2,1,1
